Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss,age_binary
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,56,2174,0,1
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,<=50K,35,0,0,0
Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,32,0,0,0
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,14,0,0,0
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,72,0,0,1
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,22,0,0,0
Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K,34,0,0,0
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,52,0,0,1
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,22,14084,0,0
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,25,5178,0,0
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,14,0,0,0
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,28,0,0,0
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,66,0,0,1
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,36,0,0,0
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,,>50K,38,0,0,0
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,55,0,0,1
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,13,0,0,0
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,44,0,0,1
Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,65,0,0,1
Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,44,0,0,1
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,53,0,0,1
Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K,59,0,0,1
Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,11,0,0,0
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,63,0,2042,1
